id,frecuencia,dist_km
15001,91.7,126.064
73152,93.3,126.294
15476,106.6,126.337
15001,105.4,126.482
15001,104.1,126.928
85440,93.3,126.951
85440,100.7,126.952
85440,88.7,126.967
85440,97.1,126.969
50251,105.7,127.117
50251,93.3,127.135
50251,94.8,127.309
73001,102.5,127.961
50400,88.8,128.073
85162,99.7,128.518
15740,100.6,128.777
50400,94.3,128.828
73854,93.3,129.227
73854,103.0,129.271
50313,89.3,129.294
50313,97.7,129.315
15187,89.6,129.819
85162,88.7,129.868
15500,98.6,130.345
73678,94.5,130.353
17444,88.7,130.5
50313,92.1,130.939
17444,90.1,131.411
85162,105.7,131.648
15293,99.1,131.895
73347,107.3,132.093
73001,106.3,132.245
17662,91.0,132.282
73001,96.3,132.358
17662,92.1,132.401
73001,92.3,132.431
73001,106.9,132.536
17662,105.7,132.692
50313,101.0,132.694
15204,89.1,132.737
68377,107.2,132.886
73001,101.1,132.994
73001,100.0,133.026
73001,105.7,133.042
73585,102.5,133.12
73001,104.3,133.26
73001,94.3,133.281
50313,91.1,133.444
73001,88.3,133.953
73001,88.8,134.187
73671,106.0,135.003
17495,97.2,136.029
73268,107.5,136.158
17433,96.7,136.804
68368,103.2,136.846
17495,102.7,137.067
15051,93.0,137.098
17433,104.1,137.245
15814,106.6,137.386
15051,94.1,139.366
50680,94.8,139.404
68572,101.4,139.475
73563,99.3,139.791
50680,100.8,139.851
50573,98.1,140.139
73624,102.5,140.226
68773,107.7,140.955
68773,96.2,141.014
73563,93.5,141.433
15469,92.1,142.086
50573,107.5,142.147
15469,100.1,142.166
68077,98.2,142.185
50573,88.8,142.24
50287,95.3,142.468
50287,89.7,142.468
15837,94.1,142.796
50573,101.3,143.324
50287,107.8,143.467
50330,89.1,143.687
50330,103.8,143.831
85015,101.7,144.1
85015,100.2,144.31
50683,107.8,144.906
50313,102.5,144.929
17541,93.1,145.754
17541,98.7,145.769
15469,89.3,145.924
50330,94.0,146.32
50683,95.8,146.346
50124,96.8,146.466
50124,91.3,146.772
68077,103.2,146.867
85410,107.7,146.872
85410,100.5,146.873
68324,97.7,147.345
17001,92.7,147.387
68324,88.2,147.467
68077,106.8,147.559
68077,88.8,147.629
68101,103.7,148.928
17446,92.1,149.649
68101,107.2,149.694
15542,90.6,149.891
5591,107.4,150.116
17446,106.7,150.174
15763,89.6,150.366
68861,90.7,151.289
15816,90.6,152.228
68861,101.0,152.657
73124,95.7,152.904
73504,100.5,153.098
73504,90.0,153.098
73504,102.5,153.468
15822,99.1,153.739
15822,103.8,154.134
15822,97.7,154.134
73124,95.0,154.422
85279,107.7,155.823
15572,97.1,155.943
15572,101.6,155.943
15572,89.5,155.945
15572,100.6,156.101
68250,103.2,156.162
85279,106.7,156.393
15226,100.6,156.815
73236,96.8,157.344
73236,102.5,157.344
15362,96.6,158.06
15664,104.6,159.109
68327,101.4,159.117
15664,89.6,159.386
