Time_Human,Time_Unix_ms,CPU_Load_1m,CPU_Freq_MHz,Core_0_%,Core_1_%,Core_2_%,Core_3_%,Core_4_%,Core_5_%,Core_6_%,Core_7_%,Core_8_%,Core_9_%,Core_10_%,Core_11_%,RAM_Used_%,Swap_Used_%,Disk_Write_MBps,Temp_C,Throttled
15:52:17.534,1775681537534,1.18,499,2.0,4.1,7.8,6.0,4.0,2.0,4.1,4.0,6.0,4.2,6.1,7.8,71.8,46.6,0.281,48.0,N/A
15:52:18.034,1775681538034,1.18,907,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,3.9,2.0,0.0,0.0,71.8,46.6,0.008,48.0,N/A
15:52:18.534,1775681538534,1.18,650,3.9,0.0,0.0,0.0,3.9,0.0,2.0,0.0,2.0,0.0,0.0,0.0,71.8,46.6,0.047,48.0,N/A
15:52:19.035,1775681539035,1.18,574,0.0,0.0,3.9,5.9,2.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,71.8,46.6,0.0,48.0,N/A
15:52:19.535,1775681539535,1.18,832,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,3.9,0.0,71.8,46.6,0.0,48.0,N/A
15:52:20.035,1775681540035,1.18,1077,2.0,0.0,0.0,4.0,0.0,4.0,3.9,4.1,0.0,2.0,0.0,0.0,71.8,46.6,0.0,48.0,N/A
15:52:20.535,1775681540535,1.18,1173,4.0,0.0,3.9,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,71.8,46.6,0.0,48.0,N/A
15:52:21.035,1775681541035,1.18,572,0.0,4.0,4.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,71.9,46.6,0.0,48.0,N/A
15:52:21.535,1775681541535,1.18,401,4.1,2.0,8.0,8.0,4.0,9.8,8.2,7.8,8.0,8.2,8.2,7.8,71.7,46.6,0.0,48.0,N/A
15:52:22.035,1775681542035,1.08,1140,2.0,4.0,2.1,2.0,0.0,2.0,0.0,0.0,3.9,0.0,0.0,0.0,71.7,46.6,0.0,48.0,N/A
15:52:22.535,1775681542535,1.08,742,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,71.7,46.6,0.0,48.0,N/A
15:52:23.035,1775681543035,1.08,1345,2.0,4.0,5.9,0.0,2.0,2.0,0.0,0.0,5.9,4.1,4.1,2.0,71.8,46.6,0.227,48.0,N/A
15:52:23.535,1775681543535,1.08,743,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,5.8,2.0,2.0,71.5,46.6,0.008,48.0,N/A
15:52:24.036,1775681544036,1.08,915,0.0,4.1,6.0,0.0,5.9,4.0,2.0,0.0,3.8,4.0,0.0,0.0,71.5,46.6,0.078,46.0,N/A
15:52:24.536,1775681544536,1.08,836,2.0,0.0,0.0,0.0,2.0,0.0,5.8,0.0,0.0,2.0,2.0,0.0,71.5,46.6,0.0,46.0,N/A
15:52:25.036,1775681545036,1.08,815,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,5.8,71.6,46.6,0.0,46.0,N/A
15:52:25.536,1775681545536,1.08,605,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,3.8,0.0,0.0,0.0,71.5,46.6,0.0,46.0,N/A
15:52:26.036,1775681546036,1.08,928,2.0,4.0,0.0,2.0,2.0,3.9,0.0,0.0,0.0,4.0,2.0,2.0,71.5,46.6,0.0,46.0,N/A
15:52:26.536,1775681546536,1.08,545,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,71.5,46.6,0.0,46.0,N/A
15:52:27.036,1775681547036,1.24,816,3.9,3.9,4.0,3.9,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,71.5,46.6,0.0,46.0,N/A
15:52:27.536,1775681547536,1.24,964,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,3.9,2.0,71.5,46.6,0.0,46.0,N/A
15:52:28.036,1775681548036,1.24,1035,2.0,3.9,0.0,2.0,4.0,0.0,0.0,0.0,3.9,7.7,0.0,2.0,71.5,46.6,0.484,46.0,N/A
15:52:28.536,1775681548536,1.24,977,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,71.5,46.6,0.0,46.0,N/A
15:52:29.037,1775681549037,1.24,1097,0.0,2.0,0.0,2.0,6.0,2.0,0.0,2.0,4.0,4.0,2.0,2.0,71.5,46.6,0.07,46.0,N/A
15:52:29.537,1775681549537,1.24,1107,0.0,0.0,3.9,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,71.5,46.6,0.0,46.0,N/A
15:52:30.037,1775681550037,1.24,1452,2.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,71.5,46.6,0.336,46.0,N/A
15:52:30.537,1775681550537,1.24,537,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,71.5,46.6,0.117,46.0,N/A
15:52:31.037,1775681551037,1.24,1247,4.0,4.1,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.9,7.7,3.9,71.5,46.6,0.0,46.0,N/A
15:52:31.537,1775681551537,1.24,492,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,71.5,46.6,0.0,46.0,N/A
15:52:32.037,1775681552037,1.14,1099,0.0,4.0,2.0,3.9,6.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,71.5,46.6,0.0,46.0,N/A
15:52:32.537,1775681552537,1.14,889,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,3.9,71.4,46.6,0.0,46.0,N/A
15:52:33.037,1775681553037,1.14,1144,4.0,4.0,0.0,3.9,4.1,2.0,3.9,0.0,2.0,4.0,0.0,4.0,71.5,46.6,0.234,46.0,N/A
15:52:33.537,1775681553537,1.14,993,2.0,0.0,4.0,0.0,2.0,0.0,2.0,2.0,3.8,0.0,0.0,0.0,71.5,46.6,0.0,46.0,N/A
